problem_name,timestamp,num_cities,kernel_type,population_size,num_generations,initial_fitness,final_fitness,improvement,total_time,avg_time_per_gen,init_time,fitness_time,crossover_time,mutation_time,problem_type
TSPJ_2M,2025-12-07T15:19:46.362773,406,Original,500,10,36654.0,29747.0,-18.84,1476.0,147.6,493.0,11.49,838.72,65.4,medium
TSPJ_3M,2025-12-07T15:19:48.293937,454,Original,500,10,39045.3,32436.3,-16.93,1678.0,167.8,498.0,12.64,1034.03,66.13,medium
TSPJ_9M,2025-12-07T15:19:50.099029,419,Original,500,10,34557.5,28999.0,-16.08,1555.0,155.5,495.0,11.99,915.04,65.75,medium
TSPJ_4M,2025-12-07T15:19:51.888368,422,Original,500,10,36908.3,32055.3,-13.15,1538.0,153.8,498.0,12.14,895.37,65.54,medium
TSPJ_11M,2025-12-07T15:19:53.746477,429,Original,500,10,37046.1,31001.5,-16.32,1613.0,161.3,493.0,12.25,974.67,65.29,medium
TSPJ_21M,2025-12-07T15:19:55.678972,455,Original,500,10,39818.0,33189.3,-16.65,1683.0,168.3,506.0,12.79,1031.17,66.09,medium
TSPJ_24M,2025-12-07T15:19:57.739031,472,Original,500,10,39767.8,34280.6,-13.8,1810.0,181.0,499.0,13.41,1163.7,66.05,medium
TSPJ_19M,2025-12-07T15:19:59.547793,427,Original,500,10,37186.4,32179.5,-13.46,1556.0,155.6,498.0,12.13,913.39,65.49,medium
TSPJ_25M,2025-12-07T15:20:01.668410,493,Original,500,10,41710.9,36243.0,-13.11,1875.0,187.5,504.0,14.07,1222.63,66.8,medium
TSPJ_13M,2025-12-07T15:20:03.831300,492,Original,500,10,42671.9,35960.8,-15.73,1917.0,191.7,509.0,13.86,1259.92,66.54,medium
TSPJ_14M,2025-12-07T15:20:05.687486,432,Original,500,10,38646.1,32452.1,-16.03,1611.0,161.1,499.0,12.36,966.81,65.58,medium
TSPJ_8M,2025-12-07T15:20:07.861627,496,Original,500,10,40332.0,34348.5,-14.84,1924.0,192.4,514.0,14.01,1261.07,66.8,medium
TSPJ_18M,2025-12-07T15:20:09.871893,461,Original,500,10,39777.5,33702.0,-15.27,1764.0,176.4,508.0,13.16,1110.02,66.04,medium
TSPJ_22M,2025-12-07T15:20:12.041866,491,Original,500,10,42413.8,35549.5,-16.18,1924.0,192.4,502.0,14.1,1273.73,66.61,medium
TSPJ_5M,2025-12-07T15:20:14.235276,499,Original,500,10,41531.1,36097.8,-13.08,1948.0,194.8,504.0,14.27,1294.38,67.26,medium
TSPJ_16M,2025-12-07T15:20:16.365697,480,Original,500,10,41139.1,35143.5,-14.57,1881.0,188.1,502.0,13.87,1231.59,66.52,medium
